code,name,market
1301,極洋,prime
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,growth
1332,ニッスイ,prime
1333,Ｕｍｉｏｓ,prime
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,growth
1375,ユキグニファクトリー,prime
1376,カネコ種苗,standard
1377,サカタのタネ,prime
1379,ホクト,prime
137A,Ｃｏｃｏｌｉｖｅ,growth
1380,秋川牧園,standard
1381,アクシーズ,standard
1382,ホーブ,standard
1383,ベルグアース,standard
1384,ホクリヨウ,standard
138A,光フードサービス,growth
1401,エムビーエス,growth
1407,ウエストホールディングス,standard
1414,ショーボンドホールディングス,prime
1417,ミライト・ワン,prime
1418,インターライフホールディングス,standard
1419,タマホーム,prime
141A,トライアルホールディングス,growth
1420,サンヨーホームズ,standard
1429,日本アクア,prime
142A,ジンジブ,growth
1430,ファーストコーポレーション,standard
1431,Ｌｉｂ　Ｗｏｒｋ,growth
1433,ベステラ,prime
1434,ＪＥＳＣＯホールディングス,standard
1435,ｒｏｂｏｔ　ｈｏｍｅ,standard
1436,グリーンエナジー＆カンパニー,growth
1438,岐阜造園,standard
143A,イシン,growth
1443,技研ホールディングス,standard
1444,ニッソウ,growth
1446,キャンディル,standard
1447,ＳＡＡＦホールディングス,growth
1450,ＴＡＮＡＫＥＮ,standard
145A,Ｌ　ｉｓ　Ｂ,growth
146A,コロンビア・ワークス,standard
147A,ソラコム,growth
148A,ハッチ・ワーク,growth
1491,中外鉱業,standard
149A,シンカ,growth
150A,ＪＳＨ,growth
1514,住石ホールディングス,standard
1515,日鉄鉱業,prime
1518,三井松島ホールディングス,prime
151A,ダイブ,growth
153A,カウリス,growth
155A,情報戦略テクノロジー,growth
156A,マテリアルグループ,growth
157A,グリーンモンスター,growth
1605,ＩＮＰＥＸ,prime
160A,アズパートナーズ,standard
1662,石油資源開発,prime
1663,Ｋ＆Ｏエナジーグループ,prime
166A,タスキホールディングス,growth
167A,リョーサン菱洋ホールディングス,prime
168A,イタミアート,growth
1711,ＳＤＳホールディングス,standard
1716,第一カッター興業,standard
1717,明豊ファシリティワークス,standard
1718,美樹工業,standard
1719,安藤・間,prime
1720,東急建設,prime
1721,コムシスホールディングス,prime
1723,日本電技,standard
1724,シンクレイヤ,standard
1726,ビーアールホールディングス,prime
1736,オーテック,standard
173A,ハンモック,growth
1758,太洋基礎工業,standard
175A,Ｗｉｌｌ　Ｓｍａｒｔ,growth
1762,高松コンストラクショングループ,prime
1764,工藤建設,standard
1766,東建コーポレーション,prime
1768,ソネック,standard
1770,藤田エンジニアリング,standard
177A,コージンバイオ,growth
1780,ヤマウラ,prime
1783,ｆａｎｔａｓｉｓｔａ,standard
1786,オリエンタル白石,prime
1787,ナカボーテック,standard
1788,三東工業社,standard
1793,大本組,standard
1795,マサル,standard
1798,守谷商会,standard
1799,第一建設工業,standard
1801,大成建設,prime
1802,大林組,prime
1803,清水建設,prime
1807,佐藤渡辺,standard
1808,長谷工コーポレーション,prime
1810,松井建設,standard
1811,錢高組,standard
1812,鹿島建設,prime
1813,不動テトラ,prime
1814,大末建設,prime
1815,鉄建建設,prime
1820,西松建設,prime
1822,大豊建設,standard
1826,佐田建設,standard
1827,ナカノフドー建設,standard
1828,田辺工業,standard
1833,奥村組,prime
1835,東鉄工業,prime
1840,土屋ホールディングス,standard
1844,大盛工業,standard
1847,イチケン,standard
1848,富士ピー・エス,standard
184A,学びエイド,growth
1850,南海辰村建設,standard
1852,淺沼組,prime
1853,森組,standard
1860,戸田建設,prime
1861,熊谷組,prime
1866,北野建設,standard
1867,植木組,standard
186A,アストロスケールホールディングス,growth
1870,矢作建設工業,prime
